geoid,end_shelter_in_place,face_mask_mandate_business,state_of_emergency,shelter_in_place,school_closure,close_nonessential_business,face_mask_mandate
1001,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1003,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,6-Jul-20
1005,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1007,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1009,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1011,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1013,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1015,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1017,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1019,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1021,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1023,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1025,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,9-Jul-20
1027,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1029,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1031,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1033,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1035,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1037,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1039,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1041,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1043,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1045,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1047,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,20-Jun-20
1049,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1051,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1053,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1055,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1057,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1059,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1061,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1063,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,1-Jul-20
1065,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1067,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1069,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1071,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,1-Jul-20
1073,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,29-Jun-20
1075,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1077,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1079,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1081,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1083,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1085,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1087,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,30-Jun-20
1089,30-Apr-20,11-May-20,13-Mar-20,3-Apr-20,16-Mar-20,28-Mar-20,7-Jul-20
1091,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1093,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,9-Jul-20
1095,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1097,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,1-Jul-20
1099,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1101,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,19-Jun-20
1103,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1105,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1107,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1109,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1111,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1113,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1115,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1117,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,7-Jul-20
1119,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1121,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1123,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1125,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,30-Jun-20
1127,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1129,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1131,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
1133,30-Apr-20,11-May-20,13-Mar-20,4-Apr-20,16-Mar-20,28-Mar-20,16-Jul-20
4001,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4003,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4005,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,20-Jun-20
4007,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,1-Jun-20
4009,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4011,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4012,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4013,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,20-Jun-20
4015,16-May-20,8-May-20,11-Mar-20,18-Mar-20,16-Mar-20,30-Mar-20,2-Jul-20
4017,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,17-Apr-20
4019,16-May-20,8-May-20,11-Mar-20,28-Mar-20,16-Mar-20,30-Mar-20,19-Jun-20
4021,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,
4023,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,19-Jun-20
4025,16-May-20,8-May-20,11-Mar-20,30-Mar-20,16-Mar-20,30-Mar-20,18-Jun-20
4027,16-May-20,8-May-20,11-Mar-20,31-Mar-20,16-Mar-20,30-Mar-20,18-Jun-20
5001,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,16-Jul-20
5003,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5005,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5007,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5009,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5011,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5013,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5015,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5017,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5019,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5021,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5023,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5025,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5027,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5029,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,6-Jul-20
5031,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5033,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5035,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5037,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5039,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5041,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5043,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5045,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5047,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5049,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5051,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,16-Mar-20
5053,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5055,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5057,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5059,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5061,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5063,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5065,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5067,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5069,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5071,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5073,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5075,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5077,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5079,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5081,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5083,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5085,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5087,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5089,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5091,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5093,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5095,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5097,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5099,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5101,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5103,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5105,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5107,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5109,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5111,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5113,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5115,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5117,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5119,,11-May-20,11-Mar-20,25-Mar-20,17-Mar-20,4-Apr-20,20-Jul-20
5121,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5123,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5125,,11-May-20,11-Mar-20,2-Apr-20,17-Mar-20,4-Apr-20,9-Jul-20
5127,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5129,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5131,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5133,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5135,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5137,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5139,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5141,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5143,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5145,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5147,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
5149,,11-May-20,11-Mar-20,,17-Mar-20,4-Apr-20,20-Jul-20
6001,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,22-Apr-20
6003,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6005,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6007,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6009,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6011,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6013,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,22-Apr-20
6015,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,15-May-20
6017,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6019,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6021,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6023,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,22-Apr-20
6025,,5-May-20,4-Mar-20,17-Mar-20,19-Mar-20,19-Mar-20,10-Apr-20
6027,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6029,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,16-Apr-20
6031,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6033,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,5-May-20
6035,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6037,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,15-Apr-20
6039,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6041,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,20-Apr-20
6043,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6045,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,1-May-20
6047,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6049,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6051,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,13-Apr-20
6053,,5-May-20,4-Mar-20,17-Mar-20,19-Mar-20,19-Mar-20,30-Apr-20
6055,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,27-May-20
6057,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6059,,5-May-20,26-Feb-20,17-Mar-20,19-Mar-20,19-Mar-20,29-May-20
6061,,5-May-20,3-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6063,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,8-May-20
6065,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,5-Apr-20
6067,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6069,,5-May-20,4-Mar-20,17-Mar-20,19-Mar-20,19-Mar-20,27-Apr-20
6071,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,8-Apr-20
6073,,5-May-20,14-Feb-20,19-Mar-20,19-Mar-20,16-Mar-20,1-May-20
6075,,5-May-20,25-Feb-20,16-Mar-20,19-Mar-20,19-Mar-20,29-May-20
6077,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6079,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6081,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,22-Apr-20
6083,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,26-May-20
6085,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,19-May-20
6087,,5-May-20,4-Mar-20,16-Mar-20,19-Mar-20,19-Mar-20,24-Apr-20
6089,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6091,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,1-May-20
6093,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6095,,5-May-20,27-Feb-20,18-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6097,,5-May-20,2-Mar-20,12-Mar-20,19-Mar-20,19-Mar-20,17-Apr-20
6099,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6101,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,1-May-20
6103,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6105,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6107,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6109,,5-May-20,4-Mar-20,19-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6111,,5-May-20,4-Mar-20,17-Mar-20,19-Mar-20,19-Mar-20,18-Jun-20
6113,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,27-Apr-20
6115,,5-May-20,4-Mar-20,18-Mar-20,19-Mar-20,19-Mar-20,1-May-20
8001,27-Apr-20,23-Apr-20,11-Mar-20,24-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8003,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8005,27-Apr-20,23-Apr-20,11-Mar-20,24-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8007,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8009,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8011,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8013,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,9-May-20
8014,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8015,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,15-Jul-20
8017,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8019,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,2-Jul-20
8021,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8023,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8025,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8027,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8029,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8031,27-Apr-20,23-Apr-20,11-Mar-20,24-Mar-20,23-Mar-20,26-Mar-20,6-May-20
8033,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8035,27-Apr-20,23-Apr-20,11-Mar-20,24-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8037,27-Apr-20,23-Apr-20,8-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,3-Jul-20
8039,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8041,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8043,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8045,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8047,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8049,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,26-Jun-20
8051,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,8-Jun-20
8053,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8055,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8057,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8059,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,14-Jul-20
8061,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8063,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8065,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8067,27-Apr-20,23-Apr-20,11-Mar-20,23-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8069,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,3-May-20
8071,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8073,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8075,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8077,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8079,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8081,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8083,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8085,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8087,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8089,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8091,27-Apr-20,23-Apr-20,11-Mar-20,25-Mar-20,23-Mar-20,26-Mar-20,3-Jul-20
8093,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8095,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8097,27-Apr-20,23-Apr-20,11-Mar-20,23-Mar-20,23-Mar-20,26-Mar-20,4-May-20
8099,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8101,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8103,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
8105,27-Apr-20,23-Apr-20,11-Mar-20,26-Mar-20,23-Mar-20,26-Mar-20,16-Jul-20
